CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: -1.336355930026825
Peso [0]: -1.336355930026825
Peso [2]: 2.0361955660313646
Peso [3]: 3.036195566031368
Peso [4]: -0.8740724178550018
Peso [5]: -2.874072417854999
Peso [6]: -0.57391205385954
Peso [7]: -1.0361955660313626
Peso [4]: -0.8740724178550018
Peso [9]: -2.0361955660313646
Peso [10]: 2.874072417854999
Peso [7]: -1.0361955660313626
Peso [7]: -1.0361955660313626
Peso [4]: -0.8740724178550018
Peso [14]: -2.5739120538595457
Peso [15]: -3.3363559300268215
Peso [9]: -2.0361955660313646
Peso [17]: 0.8740724178550018
Peso [9]: -2.0361955660313646
Peso [9]: -2.0361955660313646
Peso [0]: -1.336355930026825
Peso [21]: -1.5739120538595406
Peso [0]: -1.336355930026825
Peso [17]: 0.8740724178550018
Peso [7]: -1.0361955660313626
Peso [25]: 1.8740724178549992
Peso [26]: -3.036195566031368
Peso [27]: -2.3363559300268215
Peso [6]: -0.57391205385954
Peso [0]: -1.336355930026825
Peso [30]: 2.5739120538595457
Peso [0]: -1.336355930026825
Peso [32]: 1.5739120538595406
Peso [15]: -3.3363559300268215
Peso [9]: -2.0361955660313646
Peso [6]: -0.57391205385954
Peso [32]: 1.5739120538595406
Peso [25]: 1.8740724178549992
Peso [10]: 2.874072417854999
Peso [17]: 0.8740724178550018
Peso [10]: 2.874072417854999
Peso [0]: -1.336355930026825
Peso [6]: -0.57391205385954
Peso [32]: 1.5739120538595406
Peso [9]: -2.0361955660313646
Peso [9]: -2.0361955660313646
Peso [7]: -1.0361955660313626
Peso [25]: 1.8740724178549992
Peso [27]: -2.3363559300268215
Peso [7]: -1.0361955660313626
Peso [2]: 2.0361955660313646
Peso [9]: -2.0361955660313646
Peso [7]: -1.0361955660313626
Peso [26]: -3.036195566031368
Peso [10]: 2.874072417854999
Peso [4]: -0.8740724178550018
Peso [56]: 0.57391205385954
Peso [30]: 2.5739120538595457
Peso [3]: 3.036195566031368
Peso [59]: -1.8740724178549992
Peso [2]: 2.0361955660313646
