CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: 0
Peso [1]: -1
Peso [1]: -1
Peso [0]: 0
Peso [4]: 1
Peso [4]: 1
Peso [1]: -1
Peso [4]: 1
Peso [4]: 1
Peso [4]: 1
Peso [1]: -1
Peso [4]: 1
Peso [4]: 1
Peso [4]: 1
Peso [1]: -1
Peso [1]: -1
Peso [1]: -1
Peso [4]: 1
Peso [1]: -1
Peso [4]: 1
Peso [0]: 0
Peso [1]: -1
Peso [4]: 1
Peso [4]: 1
Peso [1]: -1
Peso [4]: 1
Peso [1]: -1
Peso [0]: 0
Peso [1]: -1
Peso [1]: -1
Peso [4]: 1
Peso [0]: 0
Peso [0]: 0
Peso [4]: 1
Peso [0]: 0
Peso [4]: 1
Peso [1]: -1
Peso [0]: 0
Peso [0]: 0
Peso [4]: 1
Peso [4]: 1
Peso [0]: 0
Peso [4]: 1
Peso [0]: 0
Peso [0]: 0
Peso [4]: 1
Peso [1]: -1
Peso [0]: 0
Peso [4]: 1
Peso [4]: 1
Peso [0]: 0
Peso [0]: 0
Peso [4]: 1
Peso [4]: 1
Peso [0]: 0
Peso [0]: 0
Peso [4]: 1
Peso [0]: 0
Peso [0]: 0
Peso [0]: 0
Peso [4]: 1
Peso [4]: 1
Peso [4]: 1

Perceptron: 2
Peso [0]: 1
Peso [1]: 0
Peso [0]: 1
Peso [1]: 0
Peso [4]: -1
Peso [1]: 0
Peso [1]: 0
Peso [4]: -1
Peso [1]: 0
Peso [1]: 0
Peso [1]: 0
Peso [1]: 0
Peso [4]: -1
Peso [0]: 1
Peso [1]: 0
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [1]: 0
Peso [1]: 0
Peso [0]: 1
Peso [1]: 0
Peso [1]: 0
Peso [0]: 1
Peso [1]: 0
Peso [0]: 1
Peso [0]: 1
Peso [4]: -1
Peso [1]: 0
Peso [0]: 1
Peso [0]: 1
Peso [4]: -1
Peso [0]: 1
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [0]: 1
Peso [1]: 0
Peso [0]: 1
Peso [4]: -1
Peso [0]: 1
Peso [0]: 1
Peso [4]: -1
Peso [0]: 1
Peso [4]: -1
Peso [0]: 1
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [4]: -1
Peso [1]: 0
Peso [1]: 0
Peso [4]: -1
Peso [4]: -1
Peso [0]: 1
Peso [4]: -1
Peso [4]: -1
Peso [1]: 0
Peso [0]: 1
Peso [4]: -1

Perceptron: 3
Peso [0]: -1
Peso [1]: 0
Peso [0]: -1
Peso [3]: 1
Peso [0]: -1
Peso [1]: 0
Peso [1]: 0
Peso [1]: 0
Peso [3]: 1
Peso [0]: -1
